Time 484 done, cost 6.802926690512603
Time 485 done, cost 0.042267899746448186
Time 486 done, cost 4.2133315938236615
Time 487 done, cost 0.00476630752346649
Time 488 done, cost 0.9456536520336124
Time 489 done, cost 0.5634275042155423
Time 490 done, cost 0.20817885230637215
Time 491 done, cost 1.0562676785006009
Time 492 done, cost 0.2794899780940329
Time 493 done, cost 0.3620310679627375
Time 494 done, cost 0.022084849630638847
Time 495 done, cost 2.0572265321464274
Time 496 done, cost 12.90721384612216
Time 497 done, cost 0.272540705888364
Time 498 done, cost 4.122221245582807
Time 499 done, cost 0.2038273223760343
Time 500 done, cost 0.009114992045055823
Time 501 done, cost 7.674279437877802
Time 502 done, cost 0.06955532897794267
Time 503 done, cost 10.836954222169025
Time 504 done, cost 0.03669801369682348
Time 505 done, cost 0.6575347549829366
Time 506 done, cost 0.043571825217805414
Time 507 done, cost 0.039389270704833126
Time 508 done, cost 2.337047346817766
Time 509 done, cost 0.0014318049804139695
Time 510 done, cost 3.0339031059256545e-05
Time 511 done, cost 2.3840037871852666
Time 512 done, cost 0.0028039812624082693
Time 513 done, cost 0.026760651844537648
Time 514 done, cost 0.009676663477267986
Time 515 done, cost 0.9815988149873953
Time 516 done, cost 0.03174837926712185
Time 517 done, cost 0.06758688744358259
Time 518 done, cost 0.013541696503715507
Time 519 done, cost 0.04919047912923187
Time 520 done, cost 29.90895954740445
Time 521 done, cost 6.328568941075818
Time 522 done, cost 1.3372959952946222
Time 523 done, cost 0.01681493169219639
Time 524 done, cost 3.498145773660902e-05
Time 525 done, cost 14.928479741849971
Time 526 done, cost 0.018425388034460147
Time 527 done, cost 0.2708487095006303
Time 528 done, cost 0.1614986074120324
Time 529 done, cost 0.3518056539098449
Time 530 done, cost 2.2385867569701348
Time 531 done, cost 0.007141573818423847
Time 532 done, cost 12.431974023273273
Time 533 done, cost 1.5889230453468113
Time 534 done, cost 0.0003003199693242562
Time 535 done, cost 2.2134962832819807
Time 536 done, cost 0.02379713882255337
Time 537 done, cost 0.6022724520719512
Time 538 done, cost 0.04091289089514798
Time 539 done, cost 0.6738492068287477
Time 540 done, cost 0.0015237233172517865
Time 541 done, cost 0.0878638247515533
Time 542 done, cost 6.402356267675948
Time 543 done, cost 0.01605376854990046
Time 544 done, cost 22.803266734551965
Time 545 done, cost 16.191927772317538
Time 546 done, cost 4.2657861326409074
Time 547 done, cost 0.9149442071221272
Time 548 done, cost 3.9347870376582614
Time 549 done, cost 0.122069097826246
Time 550 done, cost 2.670109283979747
Time 551 done, cost 0.045788036440406125
Time 552 done, cost 2.6351215534468757
Time 553 done, cost 0.35892978079038695
Time 554 done, cost 0.021552704073335104
Time 555 done, cost 0.007829662080837478
Time 556 done, cost 0.083493142988012
Time 557 done, cost 0.09904208760748434
Time 558 done, cost 0.009824097389630308
Time 559 done, cost 0.13393475247939376
Time 560 done, cost 0.6112936325171341
Time 561 done, cost 0.4537299938592448
Time 562 done, cost 1.1092667855761806
Time 563 done, cost 0.006934269595477749
Time 564 done, cost 0.6337374894018232
Time 565 done, cost 0.03747737470353552
Time 566 done, cost 6.950123527005371
Time 567 done, cost 0.06801474124370062
Time 568 done, cost 0.584513638542367
Time 569 done, cost 0.027439369749342506
Time 570 done, cost 0.31285309048870996
Time 571 done, cost 0.9380940489891038
Time 572 done, cost 0.044753418279421926
Time 573 done, cost 5.037715488567182
Time 574 done, cost 0.03253993634606973
Time 575 done, cost 0.0787204476989227
Time 576 done, cost 4.053778478296247
Time 577 done, cost 0.08448419166977512
Time 578 done, cost 0.005975625227469221
Time 579 done, cost 0.016664315067088195
Time 580 done, cost 4.3481131674983935
Time 581 done, cost 0.1483915162840657
Time 582 done, cost 0.012974171746087663
Time 583 done, cost 0.2842690130722091
Time 584 done, cost 0.0065183821796967615
Time 585 done, cost 0.028161214606482153
Time 586 done, cost 0.03682530455454847
Time 587 done, cost 0.01568091670413282
Time 588 done, cost 0.3442101504379793
Time 589 done, cost 0.10847642038085496
Time 590 done, cost 2.3744120137609928
Time 591 done, cost 0.0008680936094479147
Time 592 done, cost 0.019894925106786348
Time 593 done, cost 1.248427979573539
Time 594 done, cost 0.12770136627194362
Time 595 done, cost 0.5370515645682857
Time 596 done, cost 0.12735666678595664
Time 597 done, cost 0.13812257531293895
Time 598 done, cost 1.7144211948242367
Time 599 done, cost 0.6526855746510849
Time 600 done, cost 0.009573203466185736
Time 601 done, cost 0.04311022966435004
Time 602 done, cost 29.79020031111561
Time 603 done, cost 0.22398978482286888
Time 604 done, cost 0.0575592957177902
Time 605 done, cost 0.062225411059248566
Time 606 done, cost 0.7141969172885246
Time 607 done, cost 0.23930043247301516
Time 608 done, cost 0.19080545956445694
Time 609 done, cost 13.731338911223762
Time 610 done, cost 0.178874660076739
Time 611 done, cost 0.016779560237577148
Time 612 done, cost 0.03814474118981969
Time 613 done, cost 6.990852436431576
Time 614 done, cost 0.1520395012144854
Time 615 done, cost 0.009590969455986892
Time 616 done, cost 0.21812105366666665
Time 617 done, cost 0.0025552318356101143
Time 618 done, cost 18.452872082569154
Time 619 done, cost 0.03809568446695324
Time 620 done, cost 0.11021113474290871
Time 621 done, cost 0.6581658518580271
Time 622 done, cost 0.10026348002510038
Time 623 done, cost 0.17168028058150375
Time 624 done, cost 22.257917488396583
Time 625 done, cost 6.686334149750899
Time 626 done, cost 0.01496154237980481
Time 627 done, cost 0.31753698048416706
Time 628 done, cost 0.3249509734420383
Time 629 done, cost 0.000612799822127206
Time 630 done, cost 0.11617779294230972
Time 631 done, cost 0.0770601666375134
Time 632 done, cost 18.680107425490917
Time 633 done, cost 1.0925538276859776
Time 634 done, cost 0.11040508245359515
Time 635 done, cost 0.012147655683905599
Time 636 done, cost 4.749905154073062
Time 637 done, cost 0.22708722515743085
Time 638 done, cost 0.1128647994396161
Time 639 done, cost 1.0851463609953043
Time 640 done, cost 0.360495270381438
Time 641 done, cost 2.111935366746748
Time 642 done, cost 14.0250946618422
Time 643 done, cost 0.03519211283913851
Time 644 done, cost 0.059433662582612345
Time 645 done, cost 0.03675155118379822
Time 646 done, cost 0.0012394807327996
Time 647 done, cost 0.0001441569654752743
Time 648 done, cost 0.38342605092789167
Time 649 done, cost 0.13728960689574254
Time 650 done, cost 0.08455165839001544
Time 651 done, cost 1.769678089752749
Time 652 done, cost 14.128148724596697
Time 653 done, cost 1.6189171724122435
Time 654 done, cost 31.002482690418496
Time 655 done, cost 0.0002563473270766291
Time 656 done, cost 7.946044552530975
Time 657 done, cost 0.156933984291894
Time 658 done, cost 0.24291166142723697
Time 659 done, cost 29.804373805745783
Time 660 done, cost 0.01554787056758498
Time 661 done, cost 0.10080707960125848
Time 662 done, cost 4.737748716484667
Time 663 done, cost 0.1228124166464384
Time 664 done, cost 1.4590030797534712
Time 665 done, cost 7.367670266190561
Time 666 done, cost 0.09902997525753084
Time 667 done, cost 4.162844873802502
Time 668 done, cost 0.017298363941059648
Time 669 done, cost 0.03624358350164974
Time 670 done, cost 9.694181586514675
Time 671 done, cost 21.615197633682488
Time 672 done, cost 3.096736389905786
Time 673 done, cost 8.723713768921312
Time 674 done, cost 0.07908297398224079
Time 675 done, cost 0.039274085690705056
Time 676 done, cost 4.502404778816239
Time 677 done, cost 13.807587867734457
Time 678 done, cost 0.11666559989657357
Time 679 done, cost 0.2631943033027045
Time 680 done, cost 0.016543625193624248
Time 681 done, cost 0.21154123851369033
Time 682 done, cost 1.3135213652557138
Time 683 done, cost 0.004046667382876908
Time 684 done, cost 0.005112409502235525
Time 685 done, cost 0.001965848978010481
Time 686 done, cost 0.40546205075576863
Time 687 done, cost 2.2925932229865937
Time 688 done, cost 0.011631587600119474
Time 689 done, cost 0.5954369210256373
Time 690 done, cost 0.5359618672242565
Time 691 done, cost 5.083470561608368
Time 692 done, cost 0.029503119126276213
Time 693 done, cost 0.10425276473684483
Time 694 done, cost 0.5649269014645752
Time 695 done, cost 0.001900563360673419
Time 696 done, cost 3.7969485491303767
Time 697 done, cost 0.006618427127605396
Time 698 done, cost 0.004769667256028749
Time 699 done, cost 0.006481064363889044
Time 700 done, cost 0.29857332576085144
Time 701 done, cost 0.004319737748830768
Time 702 done, cost 1.0891825380147389
Time 703 done, cost 0.02940654301418308
Time 704 done, cost 8.709231414575514
Time 705 done, cost 0.0017851851549418635
Time 706 done, cost 1.6866806117260886
Time 707 done, cost 0.0379588969634289
Time 708 done, cost 0.21159616258916905
Time 709 done, cost 1.0673519275181111
Time 710 done, cost 0.08089263470325657
Time 711 done, cost 0.011550818250466582
Time 712 done, cost 0.2148057208851358
Time 713 done, cost 0.014606120000579727
Time 714 done, cost 0.32855609271431724
Time 715 done, cost 0.018326940284776185
Time 716 done, cost 9.982317225398644
Time 717 done, cost 13.478801291952474
Time 718 done, cost 0.004791032859180491
Time 719 done, cost 0.0009076977448458204
Time 720 done, cost 0.029459818545743813
Time 721 done, cost 0.534223572783737
